Id,SalePrice
1461,125992.61481862466
1462,157668.10627007636
1463,183180.11773575493
1464,191165.3516811391
1465,197239.05113207773
1466,172646.1988037048
1467,163974.55419387756
1468,165784.13604172587
1469,185730.20157747663
1470,125258.25902554742
1471,179351.01721305193
1472,97967.92237280584
1473,102150.14901288331
1474,144421.73517114142
1475,112964.4870841438
1476,380515.36949143244
1477,256351.45507139887
1478,301877.0222039015
1479,322845.60099345725
1480,517765.7636714465
1481,306225.13074565213
1482,216012.10788390547
1483,181838.18640721854
1484,167372.15521650686
1485,172234.8862939419
1486,187182.75977520517
1487,357460.51344332803
1488,230121.9487418612
1489,194902.1909510126
1490,219719.885374647
1491,191857.09124089975
1492,87519.46481330371
1493,193240.77014384366
1494,287207.59881688165
1495,275984.78817655967
1496,241934.2051549967
1497,181459.44795461083
1498,163900.997403886
1499,157640.36178016773
1500,157043.28533989657
1501,176722.2334241356
1502,150002.97996459907
1503,255311.7350524444
1504,238569.00630955969
1505,218262.44814032665
1506,184721.08208623354
1507,256211.99961936314
1508,201160.78232053271
1509,166888.13136376048
1510,143305.5237495033
1511,155656.74645563588
1512,164868.2147809231
1513,144220.87776976888
1514,129766.87107360217
1515,208411.98121776478
1516,150793.9214749328
1517,165934.6210216559
1518,129821.82397261425
1519,201447.8178911691
1520,133259.17699576513
1521,140349.551625597
1522,173814.94272642955
1523,120728.99828904546
1524,128086.14035447393
1525,125331.85911352634
1526,112633.95838948076
1527,109009.4743161476
1528,125809.85852302739
1529,153517.50048892462
1530,169105.8952807262
1531,128412.04908508871
1532,90170.11639532523
1533,148842.4248725333
1534,123953.5428420729
1535,151367.9603286604
1536,111143.59774548707
1537,73859.138980933
1538,136889.00527083245
1539,209491.99110385723
1540,89844.71160993584
1541,137215.34564780613
1542,144447.57275495314
1543,178489.67422525946
1544,80936.82511418071
1545,105884.74187171253
1546,138857.94411210535
1547,134157.9125004708
1548,136719.58415510756
1549,121617.1385682417
1550,146676.59193494346
1551,102283.23546991544
1552,147322.88059936106
1553,152378.53062679732
1554,116805.11733487243
1555,179292.098005444
1556,82273.63112441257
1557,95630.14203426903
1558,102751.8554663609
1559,102896.9603345274
1560,133918.99431985227
1561,116496.767984882
1562,129193.9541234877
1563,122459.77270299796
1564,164157.52930056257
1565,151676.84706473665
1566,243367.79214931364
1567,76392.88343304259
1568,227708.07790973276
1569,144042.55188848986
1570,153763.31032597556
1571,132751.7914309853
1572,140437.88515826262
1573,242864.64921705387
1574,106041.47030549473
1575,221836.04053008265
1576,246809.06635923887
1577,192190.28292842594
1578,154281.2380925407
1579,142033.32828879842
1580,194846.46168235256
1581,147911.38593500998
1582,127237.92923567741
1583,283603.6329701877
1584,226871.36045663035
1585,138060.75938910933
1586,62747.30704713614
1587,111908.09487981847
1588,156204.34268977324
1589,90041.41229343775
1590,133289.14487868134
1591,101124.54199732887
1592,107440.00675170365
1593,117621.74768386583
1594,126500.87083710119
1595,135426.9236659807
1596,233686.84293690344
1597,196534.4729552413
1598,229510.50421071448
1599,160816.32927811335
1600,163901.01480217447
1601,75249.89904043544
1602,118540.0355136268
1603,78617.59518090053
1604,266389.9807321954
1605,246849.65437334802
1606,166375.30857240365
1607,170440.91656741156
1608,207962.74644987314
1609,178730.153714785
1610,162216.970461936
1611,148785.88244864048
1612,176319.82977849658
1613,173934.18523125426
1614,113260.11996875293
1615,92713.825850942
1616,78898.92936263321
1617,90591.0985604522
1618,128640.3523177423
1619,139042.87627066788
1620,160018.28081267304
1621,150190.04695372877
1622,134688.91604433028
1623,257491.3776856225
1624,213768.78156386054
1625,123097.86149801753
